oldspec,WoodDensity (g/cm3),LMA,LeafNitrogen,MaxHeight,DrySeedMass(mg),MaxTrunkDiameter,Serotiny,reseedtime,reseedsite,Btat20,RootResprout,Adventitious bud,Sites,Symbiosis,FireTolerance,DroughtTolerance,C:Ngreen_observed,C:Nsenes_observed,C:Nroots_observed,C:Pgreen_observed,C:Psenes_observed,C:Proots_observed,Barkat10cm
Juglans cinerea,0.38,63,22,21.85714286,14051.87498,NA,NA,NA,NA,NA,NA,NA,NA,am,1,1,NA,NA,NA,NA,NA,NA,NA
Juglans nigra,0.5865,43,24,37,11271.52966,1.3578,NA,NA,NA,NA,NA,NA,NA,am,3,1,NA,NA,NA,NA,NA,NA,NA
Juglans spp.,0.5065,37.58,25,19.4,7620,0.17657,NA,NA,NA,7.5998578,NA,NA,NA,NA,1,2,21.66241771,56.36539069,25.13063613,261.6143211,631.4075712,414.4375659,9.779
Julbernardia globiflora,0.73752,406.504065,NA,18,337.7777778,0.9,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juniperus californica,0.676557,670,12.44088131,10.11111111,81.415,0.4,NA,1,1,6.646926,0,NA,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juniperus occidentalis,0.5126825,530,12,14.47781105,47.83265795,0.1095,NA,0,0,9.004521343,0,NA,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Juniperus osteosperma,0.509938551,430,9.710636365,8.289473684,112.3374794,0.3048,NA,0,0,10.228072,0,NA,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Juniperus scopulorum,0.466602777,260,13.05288889,15,16.62184576,0.0976,NA,0,1,13.809218,0,NA,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Juniperus virginiana,0.511284804,500,15,20.69230769,10.91500381,0.1478,NA,NA,NA,NA,NA,NA,NA,am,1,3,29.88600792,57.8898731,64.33566434,564.0193878,546.4326032,98.13407296,6.35
Kraussia floribunda,NA,129.6174987,13,6,118.92,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lannea discolor,0.45633,598.8023952,18,15,86.62285714,0.138,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lannea edulis,0.34,71,18,0.3,151.28,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
